Country ;National income
 Afghanistan;2626.0947
 Albania;13714.9953
 Algeria;14305.808
 Andorra;54805.4446
 Angola;9973.0772
 Anguilla;104808.4328
 Antigua and Barbuda;23485.4914
 Argentina;24591.7798
 Armenia;17174.6185
 Aruba;38877.1482
 Australia;46057.0968
 Austria;49298.5156
 Azerbaijan;18345.2767
 Bahamas;29867.3442
 Bahrain;49660.7761
 Bangladesh;8365.6405
 Barbados;24848.4736
 Belarus;19202.4343
 Belgium;51120.6363
 Belize;11793.1725
 Benin;5484.5425
 Bermuda;139714.4552
 Bhutan;13266.3752
 Bolivia;10753.3612
 Bosnia and Herzegovina;15894.8807
 Botswana;17249.0107
 Brazil;15768.9909
 British Virgin Islands;83764.9077
 Brunei Darussalam;68692.5531
 Bulgaria;24017.8817
 Burkina Faso;3469.5606
 Burundi;1215.1018
 Cabo Verde;7968.6294
 Cambodia;5178.9965
 Cameroon;6904.4816
 Canada;45153.5862
 Caribbean;17859.5
 Cayman Islands;111829.4887
 Central African Republic;1776.9615
 Central America;17916.4
 Central Asia;15737.7
 Chad;2895.797
 Chile;23285.4559
 China;17598.2385
 Colombia;16364.9925
 Comoros;4510.0094
 Congo;8902.6955
 Costa Rica;22568.7699
 Cote d’Ivoire;10007.1163
 Croatia;29194.1449
 Cuba;20073.623
 Curacao;21666.5382
 Cyprus;41554.6256
 Czech Republic;33605.5845
 DR Congo;2336.3688
 Denmark;60006.5416
 Djibouti;7166.0634
 Dominica;15372.7513
 Dominican Republic;24150.1195
 East Africa;4318.5
 East Asia;19991.1
 Eastern Europe;27666.7
 Ecuador;13218.2929
 Egypt;19508.0933
 El Salvador;11395.2566
 Equatorial Guinea;19283.5761
 Eritrea;2642.5363
 Estonia;32407.6685
 Ethiopia;3888.535
 Europe;40317.4
 European Union;40535.8
 Faroe Islands;68588.3391
 Fiji;13348.8138
 Finland;45275.122
 France;45134.3045
 French Polynesia;20439.7372
 Gabon;19215.081
 Gambia;3969.4814
 Georgia;17958.4384
 Germany;46451.5486
 Ghana;7991.6961
 Gibraltar;124899.6158
 Greece;28039.3902
 Greenland;59402.055
 Grenada;13922.7376
 Guatemala;13764.9119
 Guinea;4746.8827
 Guinea-Bissau;3123.2496
 Guyana;30637.0907
 Haiti;3645.7609
 Honduras;7071.6726
 Hong Kong;56404.8382
 Hungary;25563.2054
 Iceland;55804.7884
 India;8014.5345
 Indonesia;11774.9111
 Iran;13762.9247
 Iraq;15733.3406
 Ireland;63666.1445
 Isle of Man;52854.5987
 Israel;49575.7303
 Italy;36619.846
 Jamaica;9335.9493
 Japan;33838.5235
 Jordan;10935.1396
 Kazakhstan;32741.5054
 Kenya;7236.9882
 Kiribati;4550.4534
 Korea;36611.3362
 Kosovo;12253.1914
 Kuwait;54280.9255
 Kyrgyzstan;8251.3279
 Lao PDR;8648.869
 Latin America;16692.4
 Latvia;27796.4053
 Lebanon;10329.9412
 Lesotho;3741.9171
 Liberia;2232.056
 Libya;17980.0161
 Liechtenstein;157868.3692
 Lithuania;37952.7658
 Luxembourg;176619.8709
 MENA;21507.4
 Macao;114814.2898
 Madagascar;2246.1247
 Malawi;2452.8897
 Malaysia;30336.8729
 Maldives;17622.6843
 Mali;3936.899
 Malta;43595.393
 Marshall Islands;8649.4581
 Mauritania;8766.0374
 Mauritius;38193.0171
 Mexico;19242.4013
 Micronesia;4573.7466
 Middle Africa;5113.8
 Middle East;24084.9
 Moldova;10067.4898
 Monaco;185849.5033
 Mongolia;15357.7185
 Montenegro;24186.0885
 Montserrat;58669.5176
 Morocco;9419.5749
 Mozambique;2085.4586
 Myanmar;5394.4004
 Namibia;13875.8856
 Nauru;14659.3505
 Nepal;5388.475
 Netherlands;56225.8306
 New Caledonia;33350.9974
 New Zealand;40403.1379
 Nicaragua;7672.209
 Niger;2822.1136
 Nigeria;8678.1638
 North Africa;13666.7
 North America;58139.7
 North America & Oceania;55893.8
 North Korea;1733.2839
 North Macedonia;14978.7976
 Norway;80490.8385
 Oceania;35806.1
 Oceania (excl. Australia and New Zealand);6754.4
 Oman;33666.3958
 Other East Asia;33604.5
 Other Latin America;13513.9
 Other MENA;20446.0
 Other North America & Oceania;7906.7
 Other Russia & Central Asia;15377.2
 Other South & South-East Asia;11016.0
 Other Sub-Saharan Africa;5521.6
 Other Western Europe;50795.3
 Pakistan;7283.8419
 Palau;13675.5853
 Palestine;8152.1518
 Panama;35545.5602
 Papua New Guinea;4854.2862
 Paraguay;16283.9918
 Peru;14180.0898
 Philippines;10924.9535
 Poland;30574.8875
 Portugal;30761.8354
 Puerto Rico;27647.6999
 Qatar;87980.6589
 Romania;29109.6329
 Russia & Central Asia;24345.0
 Russian Federation;31996.7695
 Rwanda;4033.5349
 Saint Kitts and Nevis;27048.0826
 Saint Lucia;18317.2573
 Saint Vincent and the Grenadines;15951.7125
 Samoa;7507.1349
 San Marino;45685.7381
 Sao Tome and Principe;7918.3347
 Saudi Arabia;49984.1514
 Senegal;5791.7387
 Serbia;16800.603
 Seychelles;24920.2488
 Sierra Leone;2200.0751
 Singapore;111720.3825
